;Opp;annee;PTS_diff;AST_diff;TRB_diff;FGA;TOV;PF;BLK_diff;STL_diff
0;ATL;2020;1.0026339501355828;0.08498655581890999;0.07582906429489701;9.001821493624773;1.4134790528233152;2.087431693989071;0.14118743037724027;0.14392740140887048
1;ATL;2021;0.23448499205260642;0.007584865959969679;-0.025681112225149617;8.627906976744185;1.1627906976744187;1.9651162790697674;0.027454188995128182;0.052718657773555055
2;BOS;2020;-0.28596371606492577;-0.1796388346535804;-0.08188866910950003;8.885764499121265;1.460456942003515;2.063268892794376;0.043792226418131366;-0.050650454915321656
3;BOS;2021;-0.16886224818831355;-0.15137258827355615;-0.1652155830778366;8.487179487179487;1.3543123543123543;1.902097902097902;-0.010547135586984517;-0.04857737959451532
4;BRK;2020;0.3079737239410304;-0.16880869463911372;0.18143361941767802;9.363636363636363;1.2237762237762237;2.089160839160839;0.04109253548146792;-0.06376023578354505
5;BRK;2021;0.25293735338611706;-0.048252091906345065;-0.27781911597647646;8.72;1.1422222222222222;1.791111111111111;-0.03091882062231258;0.005168140933230813
6;CHI;2020;-0.14922155608445442;0.15201895054559963;0.038728981062809684;8.438133874239352;1.8275862068965518;1.9006085192697768;0.1265546049458082;0.05538176892479707
7;CHI;2021;0.3337536014521978;0.012042516981296377;-0.07375774522002931;8.52731591448931;1.2589073634204275;1.7862232779097387;0.03745099639989282;0.1325993111920882
8;CHO;2020;-0.29877184569851306;0.28443592096331133;0.16150744491618008;8.733590733590734;1.3532818532818534;2.028957528957529;0.02250051435292566;0.04461788191414273
9;CHO;2021;-0.1362549706536739;0.2748353986096908;0.037153092501049215;8.60364464692483;1.4236902050113895;1.8382687927107062;-0.011464859353623898;0.09237047348672975
10;CLE;2020;0.26507327679415055;0.1637841319819479;-0.23378447161236973;8.751824817518248;1.2554744525547445;1.8667883211678833;0.12521209259705882;0.17037578882864868
