;full_name;annee;PRP;DEF;MIS;MP
0;Andre Iguodala;2006;21.25609756097561;1.9024390243902438;4.280487804878049;37.43719512195121
1;Anthony Davis;2006;10.113636363636363;0.75;4.0;21.156363636363636
2;Brian Bowen;2006;12.987804878048781;1.329268292682927;3.1463414634146343;33.39939024390244
3;Carmelo Anthony;2006;34.15;1.625;5.5875;36.58187499999999
4;Chris Paul;2006;29.08974358974359;2.3205128205128207;5.141025641025641;35.80884615384616
5;Damian Jones;2006;10.414634146341463;0.4634146341463415;2.0365853658536586;25.243658536585354
6;Dwight Howard;2006;29.74390243902439;2.1951219512195124;6.024390243902439;36.63926829268293
7;JaKarr Sampson;2006;2.75;0.3333333333333333;0.4166666666666667;3.0258333333333334
8;Jaxson Hayes;2006;14.238095238095237;0.8095238095238095;2.857142857142857;24.338095238095242
9;Kelan Martin;2006;20.571428571428573;1.6964285714285714;4.339285714285714;27.43553571428571
10;LeBron James;2006;45.0;2.392405063291139;5.582278481012659;42.323670886075966
11;Taurean Prince;2006;20.585365853658537;1.2317073170731707;2.2804878048780486;35.16219512195123
12;Trevor Ariza;2006;9.526315789473685;1.1929824561403508;2.8421052631578947;17.326140350877196
13;Udonis Haslem;2006;18.34567901234568;0.8271604938271605;3.654320987654321;30.537160493827162
0;Andre Iguodala;2007;29.63157894736842;2.4342105263157894;6.065789473684211;40.08092105263158
1;Brian Bowen;2007;10.365853658536585;1.0609756097560976;2.926829268292683;29.87463414634145
2;Carmelo Anthony;2007;38.784615384615385;1.5384615384615385;6.723076923076923;38.06984615384614
3;Chris Paul;2007;30.515625;1.890625;4.921875;36.58828124999999
4;Damian Jones;2007;9.216666666666667;0.3;1.4833333333333334;19.34166666666666
5;Dwight Howard;2007;31.817073170731707;2.7560975609756095;6.853658536585366;36.67914634146342
6;JaKarr Sampson;2007;3.5;0.4090909090909091;1.2272727272727273;5.469090909090909
7;Jaxson Hayes;2007;10.802469135802468;0.7530864197530864;2.6666666666666665;19.86962962962962
8;Kelan Martin;2007;20.0;0.0;7.5;31.18
9;Kyle Lowry;2007;11.9;1.5;3.2;17.405
10;LaMarcus Aldridge;2007;14.301587301587302;1.507936507936508;3.634920634920635;21.896031746031746
11;LeBron James;2007;40.1025641025641;2.3076923076923075;5.397435897435898;40.68961538461538
12;Patty Mills;2007;12.731707317073171;1.7195121951219512;4.024390243902439;17.762073170731707
