;Rk;G;Date;Age;Tm;Unnamed: 5;Opp;Unnamed: 7;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;url;joueur;annee
0;1;1;2005-11-01;21-277;PHI;;MIL;L (-9);1;35:25;2;4;.500;0;1;.000;2;2;1.000;1;5;6;3;5;0;0;6;6;10.9;+9;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
1;2;2;2005-11-02;21-278;PHI;@;DET;L (-20);1;36:47;3;7;.429;0;0;;2;2;1.000;2;7;9;1;1;1;5;3;8;4.0;-19;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
2;3;3;2005-11-04;21-280;PHI;;CHA;L (-17);1;23:30;7;9;.778;0;1;.000;1;2;.500;0;4;4;3;1;0;1;4;15;12.8;-6;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
3;4;4;2005-11-05;21-281;PHI;@;IND;W (+2);1;39:43;5;5;1.000;1;1;1.000;3;4;.750;0;3;3;3;2;0;1;5;14;14.1;0;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
4;5;5;2005-11-09;21-285;PHI;;DAL;W (+15);1;44:05;7;11;.636;0;0;;8;8;1.000;2;5;7;5;2;1;2;2;22;23.4;+8;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
5;6;6;2005-11-11;21-287;PHI;;LAL;W (+4);1;46:39;2;3;.667;0;0;;1;2;.500;1;10;11;3;2;1;4;0;5;7.8;+10;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
6;7;7;2005-11-13;21-289;PHI;;LAC;W (+5);1;41:06;4;10;.400;0;1;.000;5;6;.833;2;6;8;3;1;1;1;2;13;12.4;0;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
7;8;8;2005-11-15;21-291;PHI;;TOR;W (+12);1;40:30;3;8;.375;0;1;.000;0;0;;2;4;6;3;1;1;3;2;6;4.2;+12;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
8;9;9;2005-11-16;21-292;PHI;@;TOR;W (+6);1;44:00;8;11;.727;6;8;.750;4;4;1.000;3;7;10;3;1;0;2;3;26;25.6;+9;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
9;10;10;2005-11-18;21-294;PHI;@;MIA;L (-10);1;34:58;3;9;.333;1;3;.333;4;7;.571;4;6;10;0;0;0;2;5;11;5.3;+3;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
10;11;11;2005-11-19;21-295;PHI;;CLE;L (-3);1;43:59;6;10;.600;0;0;;5;5;1.000;1;7;8;1;1;1;0;4;17;16.0;-3;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
11;12;12;2005-11-21;21-297;PHI;;NOK;W (+12);1;30:28;5;6;.833;2;3;.667;3;3;1.000;0;5;5;2;0;0;1;3;15;13.5;+9;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
12;13;13;2005-11-23;21-299;PHI;@;MIL;L (-11);1;28:12;1;5;.200;0;0;;3;5;.600;0;4;4;2;1;0;0;6;5;2.3;-5;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
13;14;14;2005-11-26;21-302;PHI;@;NYK;L (-3);1;36:38;2;6;.333;0;1;.000;6;8;.750;2;5;7;2;0;0;1;6;10;6.7;-5;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
14;15;15;2005-11-29;21-305;PHI;;POR;W (+24);1;29:34;3;7;.429;0;1;.000;2;2;1.000;4;3;7;4;1;0;1;3;8;9.6;+9;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2006;iguodan;2006
