;Rk;G;Date;Age;Tm;Unnamed: 5;Opp;Unnamed: 7;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;url;joueur;annee
25;25;23;2008-12-17;22-197;ATL;;BOS;L (-3);1;40:58;3;10;.300;0;0;;2;2;1.000;4;7;11;4;0;2;2;3;8;8.1;-1;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
26;26;24;2008-12-19;22-199;ATL;;GSW;W (+16);1;28:31;5;9;.556;0;0;;4;5;.800;3;3;6;5;0;3;2;1;14;15.5;+6;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
27;27;25;2008-12-21;22-201;ATL;;DET;W (+7);1;42:15;5;9;.556;0;0;;1;2;.500;3;8;11;4;0;1;0;2;11;13.5;-3;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
28;28;26;2008-12-23;22-203;ATL;;OKC;W (+11);1;31:41;2;7;.286;0;0;;2;2;1.000;2;6;8;2;0;3;2;4;6;5.0;+12;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
29;29;27;2008-12-27;22-207;ATL;;CHI;W (+12);1;37:30;4;10;.400;0;0;;2;2;1.000;5;5;10;5;0;1;0;2;10;13.0;0;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
30;30;28;2008-12-29;22-209;ATL;;DEN;W (+18);1;37:49;6;9;.667;0;0;;4;5;.800;4;6;10;4;0;1;3;3;16;15.6;+17;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
31;31;29;2008-12-30;22-210;ATL;@;IND;W (+6);1;35:53;4;8;.500;0;0;;4;6;.667;3;11;14;2;0;2;1;4;12;12.8;+4;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
32;32;30;2009-01-02;22-213;ATL;@;NJN;L (-2);1;32:21;5;9;.556;0;0;;0;1;.000;1;7;8;0;1;1;3;3;10;5.6;-20;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
33;33;31;2009-01-03;22-214;ATL;;HOU;W (+3);1;30:00;4;7;.571;0;0;;2;2;1.000;0;6;6;1;0;1;1;5;10;6.9;-5;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
34;34;32;2009-01-07;22-218;ATL;;ORL;L (-4);1;30:50;4;8;.500;0;1;.000;1;1;1.000;4;9;13;1;1;3;2;3;9;11.1;-12;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
35;35;33;2009-01-09;22-220;ATL;@;ORL;L (-34);1;23:03;2;5;.400;0;0;;3;4;.750;0;6;6;0;0;0;0;4;7;4.1;-32;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
36;36;;2009-01-11;22-222;ATL;;PHI;L (-15);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
37;37;;2009-01-13;22-224;ATL;@;PHO;L (-5);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
38;38;;2009-01-14;22-225;ATL;@;LAC;W (+17);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
39;39;;2009-01-16;22-227;ATL;@;GSW;L (-5);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
40;40;;2009-01-19;22-230;ATL;;TOR;W (+3);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
41;Rk;G;Date;Age;Tm;;Opp;;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
42;41;;2009-01-20;22-231;ATL;@;CHI;W (+3);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
43;42;;2009-01-23;22-234;ATL;;MIL;W (+30);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
