;Rk;G;Date;Age;Tm;Unnamed: 5;Opp;Unnamed: 7;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;url;joueur;annee
0;1;1;2006-11-01;22-277;PHI;;ATL;W (+13);1;41:28;4;8;.500;2;3;.667;5;5;1.000;1;3;4;5;3;1;3;2;15;16.0;+14;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
1;2;2;2006-11-03;22-279;PHI;@;ORL;W (+2);1;39:52;3;8;.375;0;2;.000;5;5;1.000;2;2;4;3;1;0;2;4;11;8.1;+7;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
2;3;3;2006-11-05;22-281;PHI;;MIA;W (+9);1;35:13;6;10;.600;2;3;.667;6;8;.750;1;6;7;5;1;1;2;2;20;19.5;+20;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
3;4;4;2006-11-07;22-283;PHI;@;IND;L (-11);1;36:55;5;6;.833;0;1;.000;0;1;.000;2;5;7;3;1;0;0;1;10;13.0;-18;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
4;5;5;2006-11-08;22-284;PHI;@;TOR;L (-2);1;28:58;5;9;.556;0;1;.000;0;0;;2;3;5;2;0;0;1;3;10;7.2;-6;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
5;6;6;2006-11-10;22-286;PHI;;DEN;L (-7);1;28:53;2;2;1.000;1;1;1.000;3;4;.750;2;6;8;7;1;0;5;4;8;9.5;-8;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
6;7;7;2006-11-15;22-291;PHI;@;SEA;W (+6);1;42:07;5;11;.455;0;0;;2;2;1.000;2;6;8;9;3;1;5;4;12;12.9;+2;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
7;8;8;2006-11-17;22-293;PHI;@;PHO;L (-12);1;44:06;3;10;.300;0;2;.000;8;11;.727;1;5;6;1;2;0;4;2;14;7.1;-7;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
8;9;9;2006-11-18;22-294;PHI;@;LAC;L (-6);1;46:38;4;14;.286;1;3;.333;4;4;1.000;0;5;5;5;1;0;5;4;13;4.2;-10;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
9;10;10;2006-11-21;22-297;PHI;;DET;L (-10);1;40:21;4;9;.444;2;3;.667;3;4;.750;2;2;4;5;1;1;1;2;13;13.3;-10;https://www.basketball-reference.com/players/a/iguodan01/gamelog/2007;iguodan;2007
