;full_name;code;letter;POS;Age
19;Wang Zhelin;zheliwa01;z;F;27
0;Nicolas Batum;batumni01;b;PF;32
1;Eric Bledsoe;bledser01;b;SG;31
2;Brandon Boston;bostobr01;b;SG;19
3;Amir Coffey;coffeam01;c;SG;24
4;DeMarcus Cousins;couside01;c;C;31
5;Paul George;georgpa01;g;SG;31
6;Harry GilesI;gilesha01;g;PF;23
7;Serge Ibaka;ibakase01;i;C;31
8;Reggie Jackson;jacksre01;j;PG;31
9;Keon Johnson;johnske01;j;SG;19
10;Luke Kennard;kennalu01;k;SG;25
11;George King;kingge01;k;SF;27
12;Kawhi Leonard;leonaka01;l;SF;30
13;Terance Mann;mannte01;m;SG;24
14;Marcus Morris;morrisma03;m;SF;32
15;Patrick Patterson;pattepa01;p;PF;32
16;Jason Preston;prestja01;p;PG;22
17;Jay Scrubb;scrubja01;s;SG;21
18;Justise Winslow;winslju01;w;PF;25
19;Moses Wright;wrighmo01;w;PF;22
20;Ivica Zubac;zubaciv01;z;C;24
0;Deandre Ayton;aytonde01;a;C;23
1;Devin Booker;bookede01;b;SG;24
2;Mikal Bridges;bridgmi01;b;SF;25
3;Jae Crowder;crowdja01;c;PF;31
4;Langston Galloway;gallola01;g;SG;29
5;Chandler Hutchison;hutchch01;h;SF;25
6;Cameron Johnson;johnsca02;j;SF;25
7;Frank Kaminsky;kaminfr01;k;PF;28
8;JaVale McGee;mcgeeja01;m;C;33
9;Abdel Nader;naderab01;n;SF;27
10;Chris Paul;paulch01;p;PG;36
11;Cameron Payne;payneca01;p;PG;27
12;Elfrid Payton;paytoel01;p;PG;27
13;Dario Saric;saricda01;s;PF;27
14;Landry Shamet;shamela01;s;SG;24
15;Jalen Smith;smithja01;s;PF;21
0;Udoka Azubuike;azubuud01;a;C;21
1;Bojan Bogdanovic;bogdabo01;b;SF;32
2;Jarrell Brantley;brantja01;b;PF;25
3;Jared Butler;butleja01;b;SG;21
4;Jordan Clarkson;clarkjo01;c;PG;29
5;Mike Conley;conlemi01;c;PG;33
6;Trent Forrest;forretr01;f;SG;23
7;Rudy Gay;gayru01;g;SF;35
8;Rudy Gobert;goberru01;g;C;29
9;Elijah Hughes;hugheel01;h;SF;23
10;Ersan Ilyasova;ilyaser01;i;PF;34
11;Joe Ingles;inglejo01;i;SG;33
12;Donovan Mitchell;mitchdo01;m;SG;25
13;Royce ONeale;onealro01;o;PF;28
14;Miye Oni;onimi01;o;SG;24
15;Eric Paschall;pascher01;p;F;24
16;MaCio Teague;teaguma01;t;SF;--
17;Hassan Whiteside;whiteha01;w;C;32
0;Keljin Blevins;blevike01;b;SF;25
1;Greg BrownI;browngr01;b;PF;20
2;Marquese Chriss;chrisma01;c;SF;24
3;Robert Covington;covinro01;c;PF;30
4;CJ Elleby;ellebcj01;e;SG;21
5;Rondae Hollis-Jefferson;holliro01;h;SF;26
6;T.J. Leaf;leaftj01;l;PF;24
7;Damian Lillard;lillada01;l;PG;31
8;Nassir Little;littlna01;l;SF;21
9;CJ McCollum;mccolcj01;m;SG;29
10;Ben McLemore;mclembe01;m;SG;28
11;Larry Nance;nancela02;n;PF;28
12;Jusuf Nurkic;nurkiju01;n;C;27
13;Norman Powell;powelno01;p;SF;28
14;Anfernee Simons;simonan01;s;SG;22
15;Dennis Smith;smithde03;s;PG;23
16;Tony Snell;snellto01;s;SF;29
17;Trendon Watford;watfotr01;w;PF;20
18;Cody Zeller;zelleco01;z;C;28
0;Marvin BagleyI;baglema01;b;PF;22
1;Harrison Barnes;barneha02;b;SF;29
2;Terence Davis;daviste02;d;SG;24
3;DeAaron Fox;foxde01;f;PG;23
4;Kyle Guy;guyky01;g;SG;24
5;Tyrese Haliburton;halibty01;h;PG;21
6;Maurice Harkless;harklma01;h;SF;28
7;Buddy Hield;hieldbu01;h;SG;28
8;Richaun Holmes;holmeri01;h;C;27
9;Damian Jones;johnsda03;j;C;26
10;Louis King;kinglo01;k;PF;22
11;Alex Len;lenal01;l;C;28
12;Chimezie Metu;metuch01;m;PF;24
13;Davion Mitchell;mitchda01;m;PG;23
14;Neemias Queta;quetane01;q;C;22
15;Jahmius Ramsey;ramseja01;r;SG;20
16;Emanuel Terry;terryem01;t;PF;26
17;Tristan Thompson;thomptr01;t;C;30
18;Robert Woodard;woodaro01;w;SF;21
0;Steven Adams;adamsst01;a;C;28
1;Santi Aldama;aldamsa01;a;PF;20
2;Kyle Anderson;anderky01;a;SF;27
3;Desmond Bane;banede01;b;SG;23
4;Dillon Brooks;brookdi01;b;SF;25
5;Brandon Clarke;clarkbr01;c;PF;24
6;Jarrett Culver;culveja01;c;G;22
7;Marc Gasol;gasolma01;g;C;36
8;Juancho Hernangomez;hernaju01;h;F;25
9;Jaren Jackson;jacksja02;j;PF;21
10;Tyus Jones;jonesty01;j;PG;25
11;John Konchar;konchjo01;k;SG;25
12;DeAnthony Melton;meltode01;m;SG;23
13;Sam Merrill;merrisa01;m;SG;25
14;Ja Morant;moranja01;m;PG;22
15;Daniel Oturu;oturuda01;o;C;21
16;Yves Pons;ponsyv01;p;SG;22
17;Killian Tillie;tilliki02;t;C;23
18;Xavier Tillman;tillmxa01;t;C;22
19;Ziaire Williams;willizi01;w;SG;20
0;Nickeil Alexander-Walker;alexani01;a;SG;23
1;Jose Alvarado;alvarjo01;a;PG;23
2;Wenyen Gabriel;gabriwe01;g;PF;24
3;Devonte Graham;grahade01;g;G;26
4;Josh Hart;hartjo01;h;SG;26
5;Jaxson Hayes;hayesja02;h;C;21
6;Willy Hernangomez;hernawi01;h;C;27
7;Daulton Hommes;hommeda01;h;SF;25
8;Brandon Ingram;ingrabr01;i;SF;24
9;Herbert Jones;joneshe01;j;SF;22
10;Kira Lewis;lewiski01;l;PG;20
11;Didi Louzada;louzadi01;l;SF;22
12;Naji Marshall;marshna01;m;SF;23
13;Trey MurphyI;murphtr01;m;SG;21
14;James Nunnally;nunnaja01;n;SF;31
15;Tomas Satoransky;satorto01;s;SG;29
16;Garrett Temple;templga01;t;SF;35
17;Jonas Valanciunas;valanjo01;v;C;29
18;Zion Williamson;willizi01;w;PF;21
0;Will Barton;bartowi01;b;SF;30
1;Bol Bol;bolbo01;b;C;21
2;Facundo Campazzo;campafa01;c;PG;30
3;Vlatko Cancar;cancavl01;c;SF;24
4;PJ Dozier;doziepj01;d;SG;24
5;Aaron Gordon;gordoaa01;g;PF;25
6;JaMychal Green;greenja01;g;PF;31
7;Jeff Green;greenje02;g;PF;35
8;Shaquille Harrison;harrish01;h;SG;27
9;Markus Howard;howarma01;h;PG;22
10;NahShon Hyland;hylanna01;h;PG;20
11;Nikola Jokic;jokicni01;j;C;26
12;Monte Morris;morrimo01;m;PG;26
13;Jamal Murray;murraja01;m;PG;24
14;Zeke Nnaji;nnajize01;n;PF;20
15;Michael Porter;portemi01;p;SF;23
16;Austin Rivers;riverau01;r;SG;29
0;DJ Augustin;augusdj01;a;PG;33
1;Tyler Bey;beyty01;b;SF;23
2;Avery Bradley;bradlav01;b;PG;30
3;Armoni Brooks;brookar01;b;SG;23
4;Josh Christopher;chrisjo01;c;SG;19
5;Dante Exum;exumda01;e;PG;26
6;Usman Garuba;garubus01;g;PF;19
7;Eric Gordon;gordoer01;g;SG;32
8;Jalen Green;greenja01;g;SG;19
9;Danuel House;houseda01;h;SF;28
10;Matt Hurt;hurtma01;h;F;21
11;Anthony Lamb;lamban01;l;SF;23
12;Kenyon Martin;martike04;m;SF;20
13;Daishen Nix;nixda01;n;SG;19
14;David Nwaba;nwabada01;n;SF;28
15;Kevin Porter;porteke02;p;SG;21
16;Alperen Sengun;sengual01;s;C;19
17;JaeSean Tate;tateja01;t;SF;25
18;Daniel Theis;theisda01;t;C;29
19;Khyri Thomas;thomakh01;t;SG;25
20;John Wall;walljo01;w;PG;31
21;DJ Wilson;wilsodj01;w;PF;25
22;Christian Wood;woodch01;w;C;25
0;Al-Farouq Aminu;aminual01;a;PF;30
1;Keita Bates-Diop;bateske01;b;SF;25
2;Zach Collins;colliza01;c;PF;23
3;Drew Eubanks;eubandr01;e;PF;24
4;Bryn Forbes;forbebr01;f;SG;28
5;Keldon Johnson;johnske04;j;SF;21
6;Tre Jones;jonestr01;j;PG;21
7;Jock Landale;landajo01;l;C;25
8;Doug McDermott;mcderdo01;m;SF;29
9;Dejounte Murray;murrade01;m;PG;24
10;Jakob Poeltl;poeltja01;p;C;25
11;Joshua Primo;primojo01;p;SG;18
12;Luka Samanic;samanlu01;s;PF;21
13;Devin Vassell;vassede01;v;SG;21
14;Lonnie Walker;walkelo01;w;SG;22
15;Derrick White;whitede01;w;PG;27
16;Joe Wieskamp;wieskjo01;w;SF;22
17;Thaddeus Young;youngth01;y;PF;33
0;Moses Brown;brownmo01;b;C;21
1;Sterling Brown;brownst02;b;SF;26
2;Jalen Brunson;brunsja01;b;PG;25
3;Reggie Bullock;bullore01;b;SF;30
4;Trey Burke;burketr01;b;PG;28
5;Willie Cauley-Stein;caulewi01;c;C;28
6;Luka Doncic;doncilu01;d;PG;22
7;Dorian Finney-Smith;finnedo01;f;PF;28
8;Josh Green;greenjo01;g;SG;20
9;Tim Hardaway;hardati02;h;SF;29
10;Feron Hunt;huntfe01;h;PF;22
11;Carlik Jones;jonesca01;j;PG;23
12;Maxi Kleber;klebima01;k;PF;29
13;Boban Marjanovic;marjabo01;m;C;33
14;JaQuori McLaughlin;mclauja01;m;G;23
15;Nicolo Melli;mellini01;m;PF;30
16;Eugene Omoruyi;omorueu01;o;SF;24
17;Kristaps Porzingis;porzikr01;p;C;26
18;Dwight Powell;poweldw01;p;C;30
19;JJ Redick;redicjj01;r;SG;37
20;Tyrell Terry;terryty01;t;PG;20
0;Nemanja Bjelica;bjeline01;b;PF;33
1;Chris Chiozza;chiozch01;c;F;25
2;Stephen Curry;curryst01;c;PG;33
3;Draymond Green;greendr01;g;PF;31
4;Andre Iguodala;iguodan01;i;F;37
5;Jonathan Kuminga;kuminjo01;k;PF;18
6;Damion Lee;leeda03;l;SG;28
7;Kevon Looney;looneke01;l;C;25
8;Moses Moody;moodymo01;m;SG;19
9;Mychal Mulder;muldemy01;m;SG;27
10;Gary Payton;paytoga01;p;PG;28
11;Jordan Poole;poolejo01;p;SG;22
12;Otto Porter;porteot01;p;SF;28
13;Klay Thompson;thompkl01;t;SG;31
14;Juan Toscano-Anderson;toscaju01;t;SF;28
15;Andrew Wiggins;wiggian01;w;SF;26
16;James Wiseman;wisemja01;w;C;20
0;Darius Bazley;bazleda01;b;PF;21
1;Charlie Brown;brownch02;b;SF;24
2;Charlie Brown;brownch02;b;F;24
3;Gabriel Deck;deckga01;d;SF;26
4;Luguentz Dort;dortlu01;d;SF;22
5;Derrick Favors;favorde01;f;C;30
6;Josh Giddey;giddejo01;g;SG;18
7;Shai Gilgeous-Alexander;gilgesh01;g;SG;23
8;Jaylen Hoard;hoardja01;h;SF;22
9;Ty Jerome;jeromty01;j;SG;24
10;Vit Krejci;krejcvi01;k;F;21
11;Theo Maledon;maledth01;m;PG;20
12;Tre Mann;manntr01;m;PG;20
13;Mike Muscala;muscami01;m;C;30
14;Aleksej Pokusevski;pokusal01;p;PF;19
15;Jeremiah Robinson-Earl;robinje01;r;PF;20
16;Isaiah Roby;robyis01;r;C;23
17;Aaron Wiggins;wiggiaa01;w;SG;22
18;Kenrich Williams;willike04;w;SF;26
0;Malik Beasley;beaslma01;b;SG;24
1;Patrick Beverley;beverpa01;b;PG;33
2;Ed Davis;davised01;d;C;32
3;Anthony Edwards;edwaran01;e;SF;20
4;Nathan Knight;knighna01;k;F;23
5;Jake Layman;laymaja01;l;SF;27
6;Jaden McDaniels;mcdanja01;m;PF;20
7;Jordan McLaughlin;mclaujo01;m;PG;25
8;Jaylen Nowell;nowelja01;n;SG;22
9;Josh Okogie;okogijo01;o;SF;23
10;Taurean Prince;princeta02;p;PF;27
11;Naz Reid;reidna01;r;C;22
12;DAngelo Russell;russeda01;r;PG;25
13;Karl-Anthony Towns;townska01;t;C;25
14;Jarred Vanderbilt;vandeja01;v;PF;22
15;McKinley Wright;wrighmc01;w;PG;22
