;full_name;Tm;GS;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;Opp;POS;code
0;Aaron Gordon;den;1.0;20.0;2.0;0.0;26.0;9.0;0.0;1.0;0.3532908707940482;atl;PF;PFden1.0
1;Aaron Gordon;den;1.0;28.0;2.0;0.0;26.0;12.0;2.0;1.0;0.3532908707940482;bos;PF;PFden1.0
2;Aaron Gordon;den;1.0;33.0;2.0;0.0;26.0;15.5;5.0;1.0;0.3532908707940482;bkn;PF;PFden1.0
3;Aaron Gordon;den;1.0;30.5;2.0;0.0;26.0;11.5;1.5;1.0;0.3532908707940482;cha;PF;PFden1.0
4;Aaron Gordon;den;1.0;27.0;2.0;0.0;26.0;12.0;3.5;1.0;0.3532908707940482;cle;PF;PFden1.0
5;Aaron Gordon;den;1.0;35.0;2.0;0.0;26.0;16.0;2.0;3.0;0.3532908707940482;dal;PF;PFden1.0
6;Aaron Gordon;den;1.0;35.0;2.0;0.0;26.0;13.0;3.0;1.0;0.3532908707940482;den;PF;PFden1.0
7;Aaron Gordon;den;1.0;25.0;2.0;0.0;26.0;8.0;1.5;1.5;0.3532908707940482;gs;PF;PFden1.0
8;Aaron Gordon;den;1.0;20.0;2.0;0.0;26.0;6.5;1.5;1.0;0.3532908707940482;hou;PF;PFden1.0
9;Aaron Gordon;den;1.0;37.0;2.0;0.0;26.0;10.0;6.0;5.0;0.3532908707940482;ind;PF;PFden1.0
10;Aaron Gordon;den;1.0;28.0;2.0;0.0;26.0;13.0;6.0;3.0;0.3532908707940482;lac;PF;PFden1.0
11;Aaron Gordon;den;1.0;24.0;2.0;0.0;26.0;7.0;2.0;4.0;0.3532908707940482;lal;PF;PFden1.0
12;Aaron Gordon;den;1.0;13.0;2.0;0.0;26.0;8.0;0.0;3.0;0.3532908707940482;mia;PF;PFden1.0
13;Aaron Gordon;den;1.0;35.0;2.0;0.0;26.0;14.0;4.0;2.0;0.3532908707940482;mil;PF;PFden1.0
14;Aaron Gordon;den;1.0;32.5;2.0;0.0;26.0;9.5;2.5;1.5;0.3532908707940482;min;PF;PFden1.0
15;Aaron Gordon;den;1.0;29.0;2.0;0.0;26.0;7.0;2.0;5.0;0.3532908707940482;no;PF;PFden1.0
16;Aaron Gordon;den;1.0;29.33333333333333;2.0;0.0;26.0;11.666666666666664;2.0;1.3333333333333333;0.3532908707940481;ny;PF;PFden1.0
17;Aaron Gordon;den;1.0;24.5;2.0;0.0;26.0;12.5;1.5;1.0;0.3532908707940482;okc;PF;PFden1.0
18;Aaron Gordon;den;1.0;34.0;2.0;0.0;26.0;13.0;1.0;0.0;0.3532908707940482;orl;PF;PFden1.0
19;Aaron Gordon;den;1.0;22.0;2.0;0.0;26.0;6.0;2.5;1.0;0.3532908707940482;phi;PF;PFden1.0
20;Aaron Gordon;den;1.0;33.0;2.0;0.0;26.0;15.0;2.0;2.0;0.3532908707940482;pho;PF;PFden1.0
21;Aaron Gordon;den;1.0;20.5;2.0;0.0;26.0;7.5;1.0;1.0;0.3532908707940482;por;PF;PFden1.0
22;Aaron Gordon;den;1.0;26.0;2.0;0.0;26.0;9.0;4.0;4.0;0.3532908707940482;sac;PF;PFden1.0
23;Aaron Gordon;den;1.0;22.5;2.0;0.0;26.0;8.5;1.5;1.5;0.3532908707940482;tor;PF;PFden1.0
24;Aaron Gordon;den;1.0;30.0;2.0;0.0;26.0;9.0;1.0;1.0;0.3532908707940482;utah;PF;PFden1.0
25;Aaron Holiday;wsh;0.0;22.0;3.0;3.0;25.0;8.333333333333334;0.3333333333333333;2.0;0.10332173893650398;atl;PG;PGwsh0.0
26;Aaron Holiday;wsh;0.0;17.333333333333332;3.0;3.0;25.0;6.666666666666668;0.0;3.0;0.10332173893650398;bos;PG;PGwsh0.0
27;Aaron Holiday;wsh;0.0;25.0;3.0;3.0;25.0;9.0;2.0;2.0;0.10332173893650398;bkn;PG;PGwsh0.0
28;Aaron Holiday;wsh;0.0;21.0;3.0;3.0;25.0;4.0;3.0;1.0;0.10332173893650398;chi;PG;PGwsh0.0
29;Aaron Holiday;wsh;0.0;15.0;3.0;3.0;25.0;6.0;1.0;0.5;0.10332173893650398;cha;PG;PGwsh0.0
30;Aaron Holiday;wsh;0.0;22.0;3.0;3.0;25.0;6.0;1.0;4.0;0.10332173893650398;cle;PG;PGwsh0.0
31;Aaron Holiday;wsh;0.0;13.5;3.0;3.0;25.0;7.0;0.0;1.5;0.10332173893650398;dal;PG;PGwsh0.0
32;Aaron Holiday;wsh;0.0;18.0;3.0;3.0;25.0;4.0;0.0;2.0;0.10332173893650398;den;PG;PGwsh0.0
33;Aaron Holiday;wsh;0.0;7.0;3.0;3.0;25.0;5.0;0.0;0.5;0.10332173893650398;det;PG;PGwsh0.0
34;Aaron Holiday;wsh;0.0;20.0;3.0;3.0;25.0;5.0;1.0;2.0;0.10332173893650398;hou;PG;PGwsh0.0
35;Aaron Holiday;wsh;0.0;17.5;3.0;3.0;25.0;6.0;1.0;1.0;0.10332173893650398;lac;PG;PGwsh0.0
36;Aaron Holiday;wsh;0.0;16.5;3.0;3.0;25.0;4.5;1.5;0.5;0.10332173893650398;mem;PG;PGwsh0.0
37;Aaron Holiday;wsh;0.0;8.0;3.0;3.0;25.0;2.5;0.5;0.5;0.10332173893650398;mia;PG;PGwsh0.0
38;Aaron Holiday;wsh;0.0;25.0;3.0;3.0;25.0;12.0;3.0;1.0;0.10332173893650398;mil;PG;PGwsh0.0
39;Aaron Holiday;wsh;0.0;24.5;3.0;3.0;25.0;8.5;1.5;2.5;0.10332173893650398;min;PG;PGwsh0.0
40;Aaron Holiday;wsh;0.0;19.0;3.0;3.0;25.0;5.0;0.0;2.0;0.10332173893650398;no;PG;PGwsh0.0
41;Aaron Holiday;wsh;0.0;25.0;3.0;3.0;25.0;6.0;0.0;3.0;0.10332173893650398;ny;PG;PGwsh0.0
42;Aaron Holiday;wsh;0.0;12.5;3.0;3.0;25.0;7.0;2.5;0.5;0.10332173893650398;orl;PG;PGwsh0.0
43;Aaron Holiday;wsh;0.0;19.0;3.0;3.0;25.0;7.5;1.5;2.0;0.10332173893650398;phi;PG;PGwsh0.0
44;Aaron Holiday;wsh;0.0;16.5;3.0;3.0;25.0;3.5;1.0;1.5;0.10332173893650398;pho;PG;PGwsh0.0
45;Aaron Holiday;wsh;0.0;14.0;3.0;3.0;25.0;6.0;0.0;0.0;0.10332173893650398;sac;PG;PGwsh0.0
46;Aaron Holiday;wsh;0.0;15.0;3.0;3.0;25.0;6.0;1.0;2.0;0.10332173893650398;sa;PG;PGwsh0.0
47;Aaron Holiday;wsh;0.0;10.0;3.0;3.0;25.0;5.0;2.0;3.0;0.10332173893650398;tor;PG;PGwsh0.0
48;Aaron Holiday;wsh;0.0;16.0;3.0;3.0;25.0;6.5;0.5;1.5;0.10332173893650398;utah;PG;PGwsh0.0
49;Aaron Holiday;wsh;0.0;17.0;3.0;3.0;25.0;6.0;0.6666666666666666;0.3333333333333333;0.10332173893650398;wsh;PG;PGwsh0.0
50;Aaron Nesmith;bos;0.0;18.0;1.0;1.0;22.0;4.333333333333333;0.6666666666666666;2.333333333333333;0.169218570636727;atl;SF;SFbos0.0
51;Aaron Nesmith;bos;0.0;12.0;1.0;1.0;22.0;3.5;1.5;1.0;0.16921857063672702;bkn;SF;SFbos0.0
52;Aaron Nesmith;bos;0.0;11.333333333333336;1.0;1.0;22.0;2.6666666666666665;0.3333333333333333;1.6666666666666667;0.169218570636727;chi;SF;SFbos0.0
