;Team;victoire;defaite;total
28;utah;69.8;12.2;82.0
1;bkn;56.55;25.45;82.0
14;mem;51.4;30.6;82.0
0;atl;50.2;31.8;82.0
16;mil;49.3;32.7;82.0
4;chi;48.9;33.1;82.0
7;den;47.75;34.25;82.0
6;dal;47.65;34.35;82.0
19;ny;46.65;35.35;82.0
17;min;46.65;35.35;82.0
26;sac;46.65;35.35;82.0
2;bos;45.15;36.85;82.0
12;lac;44.6;37.4;82.0
13;lal;44.5;37.5;82.0
9;gs;43.55;38.45;82.0
18;no;42.85;39.15;82.0
24;por;42.85;39.15;82.0
5;cle;42.5;39.5;82.0
11;ind;41.45;40.55;82.0
15;mia;38.95;43.05;82.0
22;phi;38.9;43.1;82.0
23;pho;37.75;44.25;82.0
29;wsh;35.95;46.05;82.0
27;tor;34.35;47.65;82.0
10;hou;29.6;52.4;82.0
3;cha;28.6;53.4;82.0
25;sa;25.2;56.8;82.0
8;det;22.05;59.95;82.0
21;orl;20.95;61.05;82.0
20;okc;12.35;69.65;82.0
