;Team;victoire;defaite;total
0;atl;50.0;31.0;81.0
1;bkn;59.0;23.0;82.0
2;bos;40.0;42.0;82.0
3;cha;20.0;62.0;82.0
4;chi;51.0;31.0;82.0
5;cle;44.0;38.0;82.0
6;dal;40.0;42.0;82.0
7;den;53.0;29.0;82.0
8;det;18.0;64.0;82.0
9;gs;43.0;39.0;82.0
10;hou;21.0;61.0;82.0
11;ind;38.0;44.0;82.0
12;lac;51.0;31.0;82.0
13;lal;43.0;39.0;82.0
14;mem;60.0;22.0;82.0
15;mia;54.0;28.0;82.0
16;mil;53.0;29.0;82.0
17;min;48.0;34.0;82.0
18;no;40.0;42.0;82.0
19;ny;45.0;37.0;82.0
20;okc;10.0;72.0;82.0
21;orl;15.0;67.0;82.0
22;phi;38.0;44.0;82.0
23;pho;28.0;54.0;82.0
24;por;40.0;42.0;82.0
25;sa;30.0;52.0;82.0
26;sac;52.0;30.0;82.0
27;tor;29.0;53.0;82.0
28;utah;75.0;7.0;82.0
29;wsh;40.0;42.0;82.0
