;Opp_name;annee;cluster_player
675;Kelly Olynyk;2020;2.0
676;Tony Bradley;2020;4.0
677;Nicolas Claxton;2020;4.0
679;Deandre Ayton;2020;3.0
684;Willy Hernangomez;2020;3.0
686;Vincent Poirier;2020;2.0
692;Mitchell Robinson;2020;4.0
697;DeAndre Jordan;2020;3.0
700;Drew Eubanks;2020;3.0
712;Jarrett Allen;2020;1.0
715;John Collins;2020;1.0
721;Dwight Powell;2020;0.0
724;Ben Simmons;2020;0.0
732;Alen Smailagic;2020;3.0
737;Kostas Antetokounmpo;2020;2.0
743;Wendell Carter,;2020;1.0
768;Christian Wood;2020;4.0
791;Thanasis Antetokounmpo;2020;3.0
794;Isaiah Roby;2020;3.0
797;Matisse Thybulle;2020;4.0
806;Troy Brown,;2020;4.0
811;Gary Clark;2020;3.0
847;Nassir Little;2020;4.0
887;Jerami Grant;2020;0.0
889;Thaddeus Young;2020;3.0
903;Nicolas Batum;2020;3.0
906;Montrezl Harrell;2020;3.0
907;James Johnson;2020;4.0
931;Timothe Luwawu-Cabarrot;2020;4.0
938;Coby White;2020;4.0
942;Markelle Fultz;2020;1.0
949;Dante Exum;2020;3.0
957;Carsen Edwards;2020;3.0
977;Ty Jerome;2020;3.0
1015;Nikola Vucevic;2020;0.0
1020;Khem Birch;2020;4.0
1023;De'Andre Hunter;2020;0.0
1032;Bismack Biyombo;2020;3.0
1033;Jared Dudley;2020;4.0
1051;Marquese Chriss;2020;4.0
1085;Cody Martin;2020;0.0
1088;Al-Farouq Aminu;2020;4.0
1122;Georges Niang;2020;4.0
1126;Denzel Valentine;2020;4.0
1141;Luke Kornet;2020;1.0
1146;Wesley Iwundu;2020;0.0
1152;Langston Galloway;2020;4.0
1153;Darius Garland;2020;1.0
1154;Tony Snell;2020;0.0
1156;Matt Dellavedova;2020;3.0
1157;Max Strus;2020;
1160;Reggie Jackson;2020;0.0
1165;Kyrie Irving;2020;1.0
1167;John Konchar;2020;0.0
1170;Josh Richardson;2020;1.0
1181;George Hill;2020;3.0
1183;Goran Dragic;2020;3.0
1185;Trey Burke;2020;3.0
1195;Jordan Clarkson;2020;4.0
1199;Shaquille Harrison;2020;4.0
1207;Elfrid Payton;2020;1.0
1208;Patrick McCaw;2020;0.0
1212;Derrick White;2020;0.0
1215;Delon Wright;2020;4.0
1222;Gabe Vincent;2020;4.0
1239;Mohamed Bamba;2020;4.0
1265;Naz Reid;2020;3.0
1272;Cristiano Felicio;2020;2.0
1274;Boban Marjanovic;2020;4.0
1277;Jahlil Okafor;2020;4.0
1288;Willie Cauley-Stein;2020;0.0
1297;Meyers Leonard;2020;0.0
1300;Jordan Bone;2020;3.0
1305;Garrison Mathews;2020;3.0
1312;Evan Fournier;2020;1.0
