;Opp_name;annee;PTS_diff;AST_diff;TRB_diff;FGA;TOV;PF;BLK_diff;STL_diff
0;Aaron Gordon;2020;0.5369807850595669;0.17181419310046303;1.2677649875025212;11.71875;1.9375;2.15625;0.06227024711819712;-0.11222977987071078
1;Aaron Gordon;2021;-0.46187373280050653;-0.2471874385889973;0.5522722794214844;11.333333333333334;1.4166666666666667;1.6666666666666667;-0.10073787710032985;-0.1837151908707899
2;Aaron Holiday;2020;0.30581564357260915;-0.20864293526543934;0.17354518013467748;10.583333333333334;1.9722222222222223;1.0;-0.10862369217778617;-0.1601822658180655
3;Aaron Holiday;2021;0.6602400023557877;0.11880951063251319;0.5323655181662617;6.896551724137931;1.4482758620689655;1.5862068965517242;-0.02541230493316579;-0.12414031621901439
4;Aaron Nesmith;2021;0.1444590179542297;0.517618254815343;-0.49598776898952784;5.0;0.5714285714285714;0.42857142857142855;-0.0034915755210849935;-0.12836036024427658
5;Abdel Nader;2020;-1.8374788677078608;-0.562835455005972;-0.14338475603401737;5.304347826086956;0.6956521739130435;1.3043478260869565;0.1443019905694693;-0.1663673429723924
6;Abdel Nader;2021;-3.7494588744588744;-1.1655844155844157;-2.4929653679653683;5.0;1.0;1.0;-0.4242424242424242;-0.8149350649350648
7;Adam Mokoka;2020;-0.5227818624591073;0.316176220535218;-0.31784640277247556;4.0;1.0;1.8333333333333333;0.12060344341718303;0.015538849531817417
8;Adam Mokoka;2021;-2.523808564367075;-0.3422657425317;-0.6193786266924565;3.1666666666666665;0.6666666666666666;1.8333333333333333;0.019513620245003232;0.1272431764453041
9;Al Horford;2020;-1.8029451721338592;-0.6816451120350155;-0.503885038259514;9.916666666666666;1.1666666666666667;2.1666666666666665;0.0898086682737038;-0.05368437255804435
10;Al Horford;2021;-0.5479029745474646;1.029799764534435;2.102470593724986;11.0;1.5;2.0;0.21639141842876985;-0.21919564819434523
11;Al-Farouq Aminu;2020;-1.8403808009439229;-0.39054035998736447;-1.6910791542858439;6.0;0.875;1.0;0.1991456620465145;-0.4266765628774245
12;Al-Farouq Aminu;2021;-0.51057288672592;0.7261473260647305;0.36345033955711914;9.833333333333334;0.6666666666666666;1.75;0.06514899324962757;0.3441797306208565
13;Alec Burks;2020;0.14350827437261288;-0.3372151890956262;-0.06756024016120138;9.961538461538462;1.2307692307692308;2.4615384615384617;0.18229295700047168;-0.08823412160681461
14;Alec Burks;2021;-2.110904080281244;-0.6135477689657722;-0.46736158651175735;7.208333333333333;0.625;1.6666666666666667;0.06706878071613964;-0.06915243892858587
15;Aleksej Pokusevski;2021;-1.7778978942584458;-0.49196485381002886;-0.07645993031358903;5.8;0.4;2.0;0.4142057264050901;-0.2653216179366763
16;Alen Smailagic;2020;1.425352200410101;0.01027334591410764;1.1598156589793234;7.0;0.75;2.25;0.2139723182118962;0.4038303964577768
17;Alen Smailagic;2021;0.9200757575757577;-0.3845959595959596;0.014709595959595867;5.75;0.0;0.5;-0.32171717171717173;-0.601388888888889
18;Alex Caruso;2020;-0.024016156007006233;-0.11384060011400285;-0.0821067166963341;8.848484848484848;0.9696969696969697;1.3333333333333333;-0.14534186488042924;0.09061782610585387
19;Alex Caruso;2021;-1.9227552405992678;-0.9806872916710104;-0.5651983369680336;5.321428571428571;0.7142857142857143;1.5357142857142858;-0.012385699608092497;-0.12241240182469677
